Degradation,FP32,FP16,Dynamic INT8,Static INT8 (Clean Calib),Static INT8 (Mixed Calib)
Blurry Low,4.5191,4.5559,4.5192,4.4484,4.2979
Blurry Medium,9.6655,9.6824,9.6657,9.9204,10.0120
Contrast Low,0.7392,0.7811,0.7392,0.3601,5.3003
JPEG Heavy,0.5138,0.5136,0.5138,5.2161,0.5520
Noisy Low,10.1071,10.1640,10.1071,16.7642,11.0897
Noisy Medium,25.8930,25.9147,25.8930,26.9825,27.0405
Mixed Degrad. (50%),4.1802,4.2156,4.1802,4.3355,4.3492
