Degradation,FP32,FP16,Dynamic INT8,Static INT8 (Clean Calib),Static INT8 (Mixed Calib)
Blurry Low,4.9998,4.9279,4.9998,4.2958,4.2958
Blurry Medium,10.5094,10.4741,10.5093,9.5649,9.5649
Contrast Low,0.9038,0.9268,0.9038,-0.3572,-0.3572
JPEG Heavy,0.6680,0.6137,0.6679,1.2908,1.2908
Noisy Low,11.0304,10.9319,11.0304,14.8779,20.1631
Noisy Medium,27.4458,27.3816,27.4459,31.8947,31.9213
Mixed Degrad. (50%),4.6835,4.6998,4.6836,4.9423,4.9715
