Degradation,FP32,FP16,Dynamic INT8,Static INT8 (Clean Calib),Static INT8 (Mixed Calib)
Blurry Low,5.1109,5.0921,5.1108,4.5237,4.5910
Blurry Medium,13.0650,13.1353,13.0649,13.1876,13.2076
Contrast Low,1.6270,1.6326,1.6269,-0.5670,-0.4961
JPEG Heavy,0.5558,0.4660,0.5556,0.6272,0.8419
Noisy Low,24.4661,24.5261,24.4658,29.3526,29.2866
Noisy Medium,59.2954,59.3415,59.2953,60.6495,60.7166
Mixed Degrad. (50%),7.8251,7.7836,7.8249,7.5740,7.6392
