Degradation,FP32,FP16,Dynamic INT8,Static INT8 (Clean Calib),Static INT8 (Mixed Calib)
Blurry Low,4.5258,4.5123,4.5258,3.8591,3.9014
Blurry Medium,11.1937,11.2780,11.1937,11.3658,11.3834
Contrast Low,1.5379,1.5081,1.5379,-0.5637,-0.5194
JPEG Heavy,0.4206,0.4018,0.4205,0.6619,0.7472
Noisy Low,22.0813,22.1108,22.0809,27.4627,27.4237
Noisy Medium,55.7054,55.7692,55.7054,57.8231,57.7890
Mixed Degrad. (50%),7.1574,7.1460,7.1574,7.2070,7.2478
