Degradation,FP32,FP16,Dynamic INT8,Static INT8 (Clean Calib),Static INT8 (Mixed Calib)
Blurry Low,6.1404,6.0900,6.1405,5.1022,5.1022
Blurry Medium,12.2825,12.2647,12.2824,10.9779,10.9779
Contrast Low,1.0261,0.9733,1.0262,-0.6225,-0.6225
JPEG Heavy,0.7571,0.8124,0.7568,1.5219,1.5219
Noisy Low,13.2927,13.2313,13.2928,17.2462,22.0263
Noisy Medium,31.6275,31.6246,31.6275,36.0811,36.0943
Mixed Degrad. (50%),5.3348,5.3133,5.3348,5.5279,5.4954
