Degradation,FP32,FP16,Dynamic INT8,Static INT8 (Clean Calib),Static INT8 (Mixed Calib)
Blurry Low,6.3097,6.2959,6.3098,5.5617,2.3778
Blurry Medium,11.8572,11.8888,11.8572,15.1070,12.2448
Contrast Low,0.9240,0.9848,0.9240,0.4616,-2.8028
JPEG Heavy,0.7125,0.7797,0.7125,0.6470,-2.7026
Noisy Low,11.1472,11.1728,11.1472,12.4911,9.5703
Noisy Medium,27.2375,27.2694,27.2375,34.7389,28.1410
Mixed Degrad. (50%),4.2435,4.2908,4.2434,7.7716,4.7074
