Degradation,FP32,FP16,Dynamic INT8,Static INT8 (Clean Calib),Static INT8 (Mixed Calib)
Blurry Low,5.5516,5.5086,5.5510,5.2384,5.0308
Blurry Medium,11.6218,11.6556,11.6219,11.6842,11.6469
Contrast Low,0.8151,0.8781,0.8151,0.4404,5.1198
JPEG Heavy,0.7241,0.7333,0.7242,5.1752,0.5664
Noisy Low,12.0154,12.0498,12.0155,18.3725,12.8826
Noisy Medium,29.6544,29.5970,29.6544,30.0259,30.0410
Mixed Degrad. (50%),4.6216,4.6499,4.6215,4.6596,4.5777
