Degradation,FP32,FP16,Dynamic INT8,Static INT8 (Clean Calib),Static INT8 (Mixed Calib)
Blurry Low,4.7957,4.8240,4.7957,4.1168,4.1168
Blurry Medium,10.7191,10.7452,10.7190,9.9356,9.9356
Contrast Low,1.0988,1.1053,1.0989,-0.6800,-0.6800
JPEG Heavy,0.4433,0.4253,0.4433,0.5931,0.5931
Noisy Low,15.8223,15.8941,15.8223,20.9920,20.9920
Noisy Medium,42.6697,42.6842,42.6697,43.7320,43.7380
Mixed Degrad. (50%),5.6429,5.6718,5.6429,5.6859,5.7968
