Degradation,FP32,FP16,Dynamic INT8,Static INT8 (Clean Calib),Static INT8 (Mixed Calib)
Blurry Low,5.5934,5.6218,5.5929,4.6007,4.6007
Blurry Medium,12.4214,12.4763,12.4212,11.4761,11.4761
Contrast Low,1.1919,1.2480,1.1919,-0.7036,-0.7036
JPEG Heavy,0.6758,0.7204,0.6758,0.8520,0.8520
Noisy Low,18.5149,18.5831,18.5149,23.6303,23.6303
Noisy Medium,47.0789,47.0898,47.0790,47.6911,47.5763
Mixed Degrad. (50%),6.2372,6.3215,6.2373,6.5194,6.5363
